[INFO] Read bench from:  ./dataset/rawaig
Save: b06_C_000, # PI: 5, Tot Pairs: 0.0k, time: 0.72 s (0 / 10000)
Save: b18_opt_C_076, # PI: 88, Tot Pairs: 0.0k, time: 1.57 s (1 / 10000)
Save: reed_solomon_codec_generator_syn_080, # PI: 41, Tot Pairs: 0.1k, time: 1.49 s (2 / 10000)
Save: wbscope_syn_526, # PI: 12, Tot Pairs: 0.4k, time: 1.46 s (3 / 10000)
Save: b19_C_145, # PI: 128, Tot Pairs: 0.4k, time: 3.88 s (4 / 10000)
Save: wbscope_syn_808, # PI: 12, Tot Pairs: 0.6k, time: 1.28 s (5 / 10000)
Save: pci_syn_010, # PI: 71, Tot Pairs: 0.7k, time: 1.64 s (6 / 10000)
Save: sata_phy_syn_016, # PI: 70, Tot Pairs: 0.7k, time: 2.38 s (7 / 10000)
Save: b18_opt_C_044, # PI: 82, Tot Pairs: 0.8k, time: 3.49 s (8 / 10000)
Save: mem_ctrl_syn_478, # PI: 64, Tot Pairs: 0.9k, time: 2.00 s (9 / 10000)
Save: jt51_syn_129, # PI: 74, Tot Pairs: 0.9k, time: 2.87 s (10 / 10000)
Save: wbscope_syn_722, # PI: 12, Tot Pairs: 1.1k, time: 1.28 s (11 / 10000)
Save: systemcaes_syn_055, # PI: 32, Tot Pairs: 1.2k, time: 1.65 s (12 / 10000)
Save: b19_C_605, # PI: 142, Tot Pairs: 1.2k, time: 3.98 s (13 / 10000)
Save: sata_phy_syn_010, # PI: 85, Tot Pairs: 1.3k, time: 2.14 s (14 / 10000)
Save: usb_funct_syn_055, # PI: 81, Tot Pairs: 1.3k, time: 3.39 s (15 / 10000)
Save: b20_opt_C_004, # PI: 36, Tot Pairs: 1.4k, time: 2.10 s (16 / 10000)
Save: wbscope_syn_1314, # PI: 12, Tot Pairs: 1.4k, time: 0.64 s (17 / 10000)
Save: b18_opt_C_296, # PI: 64, Tot Pairs: 1.5k, time: 2.31 s (18 / 10000)
Save: s713_syn_018, # PI: 30, Tot Pairs: 1.5k, time: 1.23 s (19 / 10000)
Save: bar_syn_031, # PI: 38, Tot Pairs: 1.5k, time: 1.35 s (20 / 10000)
Save: arbiter_syn_014, # PI: 89, Tot Pairs: 1.5k, time: 1.23 s (21 / 10000)
Save: wb_conmax_syn_034, # PI: 33, Tot Pairs: 1.6k, time: 0.92 s (22 / 10000)
Save: log2_syn_212, # PI: 62, Tot Pairs: 1.6k, time: 3.08 s (23 / 10000)
Save: b15_opt_C_011, # PI: 79, Tot Pairs: 1.7k, time: 2.61 s (24 / 10000)
Save: mem_ctrl_syn_456, # PI: 58, Tot Pairs: 1.7k, time: 1.22 s (25 / 10000)
Save: reed_solomon_codec_generator_syn_256, # PI: 77, Tot Pairs: 1.7k, time: 3.00 s (26 / 10000)
Save: reed_solomon_codec_generator_syn_211, # PI: 59, Tot Pairs: 1.7k, time: 2.05 s (27 / 10000)
Save: b19_C_035, # PI: 127, Tot Pairs: 1.8k, time: 1.29 s (28 / 10000)
Save: b17_opt_C_015, # PI: 39, Tot Pairs: 1.8k, time: 1.10 s (29 / 10000)
Save: b17_C_074, # PI: 75, Tot Pairs: 1.8k, time: 2.65 s (30 / 10000)
Save: b19_C_141, # PI: 61, Tot Pairs: 1.9k, time: 2.00 s (31 / 10000)
